fy,nasbo,zip,state,year,quar,stateno,general_revenue,personal_income1000s_annual,pop_annual,beginbal,exprev,year1,election_year,state1,sen_cont_alt,hs_cont_alt,govparty_c,gov_non_maj_pty,veto_override_prop,veto_override_prop_elected,vote_nec_budg,vote_nec_any_tax_inc,leg_cont,split_leg,government_cont,divided_gov,simple_divided_gov,sen_dem_prop_all,sen_rep_prop_all,hs_dem_prop_all,hs_rep_prop_all,sen_dem_veto_proof,sen_rep_veto_proof,hs_dem_veto_proof,hs_rep_veto_proof,dem_veto_proof,rep_veto_proof,veto_proof,divided_gov_veto_proof,dem_unified,veto_proof_leg_oth_gov,true_government_cont_a2,true_divided_gov_a,vote_nec_any_tax_inc_dum,sen_dem_tax_super,sen_rep_tax_super,hs_dem_tax_super,hs_rep_tax_super,dem_tax_super,rep_tax_super,leg_cont_tax_super,divided_leg_tax_super,estimbalance,year2,state2,dpi_change,dpi_pc_change,pop_change,pop_pc_change,taxes,govparty_rep,hserepcontrl,senaterepcontrl,spyear,spstate,sandp,govtotalsxrep,rrr,ddd,rrd,rdr,ddr,drd,rdd,drr,dltasandp,year7,electyr,state7,stateno7,sen_cont_alt2,hs_cont_alt2,gub_election2,govparty_c2,gov_non_maj_pty2,fy8,nasbo8,zip8,state8,estimbalance2,legtotals,legsales,leginctax,legcorpinc,legcigtob,legmotofuel,legalkie,legothers,legfees,govtotals,govsales,govinctax,govcorpinc,govcigtob,govmotofuel,govalkie,govothers,govfees,var118,legtotalspctaxes,legsalespctaxes,leginctaxpctaxes,legcorpincpctaxes,legcigtobpctaxes,legmotofuelpctaxes,legalkiepctaxes,legotherspctaxes,legfeespctaxes,govtotalspctaxes,govsalespctaxes,govinctaxpctaxes,govcorpincpctaxes,govcigtobpctaxes,govmotofuelpctaxes,govalkiepctaxes,govotherspctaxes,govfeespctaxes,stateno9,state_name9,elect_year9,sen_dem_prop,hs_dem_prop,dem_gub_prop_last_elect,govtotalspctaxesrepgov,govname1,dem_comp_score,dem_gov,dem_comp_score2,repgovaverage,state9,var149,year9,biennium,biennium_b,biennium_first_year,biennium_second_year,var155,gub_election,gub_election_regime,govparty_d,rep_gov,demgov_ideol,repgov_ideol,demsen,repsen,demhse,rephse,repunified,demunified,repunifiedideo,demunifiedideo,repgovtotals,repgovsales,repgovinc,repgovcorp,demgovtotals,demgovsales,demgovinc,demgovcrp,dem_gub_prop_last_elect2,rep_gub_prop_last_elect2,dem_gub_prop_last_elect3,rep_gub_prop_last_elect3,zip3,stateshor,yearnasbo,st,alpha,var188,hou_chamber,sen_chamber,hou_dem,hou_rep,hou_majority,sen_dem,sen_rep,sen_majority,var190,var191,average,allstdev,allavg,distance,placeinprimary,absideol,sumofideol,var199,var200,var201,var202,var203,repgovideology,demgovideology,govtotalspctaxesrep,govtotalspctaxesdem
1992,Apr. 1991,CO,Colorado,1991,2.5,6,6.20E+09,7.40E+10,3.50E+06,16,3023,1991,1990,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.342857,0.657143,0.415385,0.584615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,76,1991,Colorado,4.00E+06,6.25,100000,3.03,3.20E+09,0,1,1,1992,Colorado,9,0,0,1,0,0,0,0,0,0,0,1992,1991,Colorado,6,0,0,0,1,0,1992,Apr. 1991,CO,Colorado,7.60E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1990,0.342857,0.415385,0.6359,0,"Romer, Roy",0.1359,1,0.1359,0,Colorado,6,1991,1991,1991,1,0,"Romer, Roy",0,1994,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6359,0.3641,0.6359,0,CO,Colorado,1991,,,,,,,,,,,,1991,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1991,Colorado,Colorado,1991,"Romer, Roy",0,-1,0,0
1993,Apr. 1992,CO,Colorado,1992,2.5,6,7.00E+09,8.00E+10,3.60E+06,133,3443,1992,1991,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.342857,0.657143,0.415385,0.584615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,230,1992,Colorado,6.00E+06,8.82,100000,2.94,3.50E+09,0,1,1,1993,Colorado,9,0,0,1,0,0,0,0,0,0,0,1993,1992,Colorado,6,0,0,0,1,0,1993,Apr. 1992,CO,Colorado,2.30E+08,5.00E+07,0,5.00E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50E+09,1.429,0,1.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1991,0.342857,0.415385,0.6359,0,"Romer, Roy",0.1359,1,0.1359,0,Colorado,6,1992,1991,1991,0,1,"Romer, Roy",0,1994,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6359,0.3641,0.6359,0,CO,Colorado,1992,,,,,,,,,,,,1992,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1992,Colorado,Colorado,1992,"Romer, Roy",0,-1,0,0
1994,4/1/93,CO,Colorado,1993,2.5,6,7.80E+09,8.70E+10,3.70E+06,327,3725,1993,1992,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.457143,0.542857,0.476923,0.523077,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,320,1993,Colorado,6.00E+06,8.11,100000,2.86,3.80E+09,0,1,1,1994,Colorado,9,0,0,1,0,0,0,0,0,0,0,1994,1993,Colorado,6,0,0,0,1,0,1994,4/1/93,CO,Colorado,3.20E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1992,0.457143,0.476923,0.6359,0,"Romer, Roy",0.1359,1,0.1359,0,Colorado,6,1993,1993,1993,1,0,"Romer, Roy",0,1994,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6359,0.3641,0.6359,0,CO,Colorado,1993,CO,6,1993,,,,,,,,,1993,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1993,Colorado,Colorado,1993,"Romer, Roy",0,-1,0,0
1995,Apr. 1994,CO,Colorado,1994,2.5,6,8.00E+09,9.40E+10,3.80E+06,405,3996,1994,1993,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.457143,0.542857,0.476923,0.523077,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,399,1994,Colorado,7.00E+06,8.75,100000,2.78,4.20E+09,0,1,1,1995,Colorado,9,0,0,1,0,0,0,0,0,0,0,1995,1994,Colorado,6,0,0,1,1,0,1995,Apr. 1994,CO,Colorado,4.00E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1993,0.457143,0.476923,0.6359,0,"Romer, Roy",0.1359,1,0.1359,0,Colorado,6,1994,1993,1993,0,1,"Romer, Roy",1,1994,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6359,0.3641,0.6359,0,CO,Colorado,1994,CO,6,1994,,,,,,,,,1994,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1994,Colorado,Colorado,1994,"Romer, Roy",0,-1,0,0
1996,Apr. 1995,CO,Colorado,1995,2.5,6,9.20E+09,1.00E+11,3.90E+06,489,4269,1995,1994,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.457143,0.542857,0.369231,0.630769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,503,1995,Colorado,7.00E+06,8.05,100000,2.7,4.50E+09,0,1,1,1996,Colorado,9,0,0,1,0,0,0,0,0,0,0,1996,1995,Colorado,6,0,0,0,1,0,1996,Apr. 1995,CO,Colorado,5.00E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.50E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1994,0.457143,0.369231,0.589,0,"Romer, Roy",0.089,1,0.089,0,Colorado,6,1995,1995,1995,1,0,"Romer, Roy",0,1998,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.589,0.411,0.589,0,CO,Colorado,1995,CO,6,1995,,,,,,,,,1995,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1995,Colorado,Colorado,1995,"Romer, Roy",0,-1,0,0
1997,Apr. 1996,CO,Colorado,1996,2.5,6,9.50E+09,1.10E+11,4.00E+06,369,4679,1996,1995,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.457143,0.542857,0.369231,0.630769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,396,1996,Colorado,6.00E+06,6.38,100000,2.63,4.80E+09,0,1,1,1997,Colorado,9,0,0,1,0,0,0,0,0,0,0,1997,1996,Colorado,6,0,0,0,1,0,1997,Apr. 1996,CO,Colorado,4.00E+08,-1.70E+07,-7.00E+06,-7.90E+06,0,0,0,0,-2.30E+06,0,0,0,0,0,0,0,0,0,0,4.80E+09,-0.358,-0.146,-0.165,0,0,0,0,-0.048,0,0,0,0,0,0,0,0,0,0,6,Colorado,1995,0.457143,0.369231,0.589,0,"Romer, Roy",0.089,1,0.089,0,Colorado,6,1996,1995,1995,0,1,"Romer, Roy",0,1998,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.589,0.411,0.589,0,CO,Colorado,1996,CO,6,1996,0.609,0.127,-1.029,0.911,0.911,-0.951,0.613,0.613,1996,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1996,Colorado,Colorado,1996,"Romer, Roy",0,-1,0,0
1998,Apr. 1997,CO,Colorado,1997,2.5,6,9.90E+09,1.20E+11,4.10E+06,514,5401,1997,1996,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.428571,0.571429,0.369231,0.630769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,325,1997,Colorado,1.00E+07,10,100000,2.56,5.30E+09,0,1,1,1998,Colorado,9,0,0,1,0,0,0,0,0,0,0,1998,1997,Colorado,6,0,0,0,1,0,1998,Apr. 1997,CO,Colorado,3.30E+08,-2.90E+07,0,-3.50E+06,0,0,0,0,-1.70E+07,-8.90E+06,0,0,0,0,0,0,0,0,0,5.30E+09,-0.549,0,-0.066,0,0,0,0,-0.315,-0.168,0,0,0,0,0,0,0,0,0,6,Colorado,1996,0.428571,0.369231,0.589,0,"Romer, Roy",0.089,1,0.089,0,Colorado,6,1997,1997,1997,1,0,"Romer, Roy",0,1998,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.589,0.411,0.589,0,CO,Colorado,1997,CO,6,1997,0.538,0.204,-1.132,0.763,0.763,-1.05,0.681,0.681,1997,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1997,Colorado,Colorado,1997,"Romer, Roy",0,-1,0,0
1999,May-98,CO,Colorado,1998,2.5,6,1.10E+10,1.30E+11,4.20E+06,901,5794,1998,1997,Colorado,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.428571,0.571429,0.369231,0.630769,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,667,1998,Colorado,1.00E+07,9.09,100000,2.5,5.90E+09,0,1,1,1999,Colorado,9,0,0,1,0,0,0,0,0,0,0,1999,1998,Colorado,6,0,0,1,0,0,1999,May-98,CO,Colorado,6.70E+08,-3.10E+07,0,-3.10E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.90E+09,-0.529,0,-0.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1997,0.428571,0.369231,0.589,0,"Romer, Roy",0.089,0,0,0,Colorado,6,1998,1997,1997,0,1,"Romer, Roy",1,1998,1,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.589,0.411,0.589,0,CO,Colorado,1998,CO,6,1998,0.597,0.256,-1.132,0.877,0.877,-1.037,0.681,0.681,1998,Colorado,-1,0.54,-0.94,0,1,0.944444,0.94,1998,Colorado,Colorado,1998,"Romer, Roy",0,-1,0,0
2000,Jun-99,CO,Colorado,1999,2.5,6,1.20E+10,1.50E+11,4.30E+06,679,6304,1999,1998,Colorado,0,0,0,0,0.666667,1,0.5,0.5,0,0,0,0,0,0.428571,0.571429,0.384615,0.615385,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,0,704,1999,Colorado,1.00E+07,8.33,100000,2.44,6.60E+09,1,1,1,2000,Colorado,9,0,0,0,0,0,0,0,1,0,0,2000,1999,Colorado,6,0,0,0,0,0,2000,Jun-99,CO,Colorado,7.00E+08,-2.30E+08,-1.00E+07,-2.20E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60E+09,-3.492,-0.155,-3.338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,1998,0.428571,0.384615,0.4954,0,"Romer, Roy",-0.0046,0,0,1.85,Colorado,6,1999,1999,1999,1,0,"Owens, Bill",0,2002,0,1,0,1.85,0,1,0,1,1,0,1.85,0,0,0,0,0,0,0,0,0,0.4954,0.5046,0,0.5046,CO,Colorado,1999,CO,6,1999,0.514,0.531,-1.153,0.886,0.886,-1.037,0.981,0.981,1999,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,1999,Colorado,Colorado,1999,"Owens, Bill",1.85,0,0,0
2001,Aug. 2000,CO,Colorado,2000,2.5,6,1.30E+10,1.60E+11,4.40E+06,787,6717,2000,1999,Colorado,0,0,0,0,0.666667,1,0.5,0.5,0,0,0,0,0,0.428571,0.571429,0.384615,0.615385,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,0,537,2000,Colorado,2.00E+07,15.38,100000,2.38,7.10E+09,1,1,1,2001,Colorado,9,-234.2,0,0,0,0,0,0,1,0,0,2001,2000,Colorado,6,1,0,0,0,0,2001,Aug. 2000,CO,Colorado,5.40E+08,-1.70E+08,-4.00E+07,-1.20E+08,-1.50E+07,0,0,0,0,0,-2.30E+08,-7.10E+07,-1.20E+08,0,0,0,0,-4.20E+07,0,7.10E+09,-2.407,-0.566,-1.63,-0.211,0,0,0,0,0,-3.239,-1,-1.69,0,0,0,0,-0.592,0,6,Colorado,1999,0.428571,0.384615,0.4954,-3.239,"Owens, Bill",-0.0046,0,0,1.85,Colorado,6,2000,1999,1999,0,1,"Owens, Bill",0,2002,0,1,0,1.85,1,0,0,1,0,0,0,0,-3.239,-1,-1.69,0,0,0,0,0,0.4954,0.5046,0,0.5046,CO,Colorado,2000,CO,6,2000,0.514,0.468,-1.153,0.967,0.967,-1.037,0.986,0.986,2000,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2000,Colorado,Colorado,2000,"Owens, Bill",1.85,0,-3.239,0
2002,1-Jun,CO,Colorado,2001,2.5,6,1.40E+10,1.60E+11,4.50E+06,469,5837,2001,2000,Colorado,1,0,0,0,0.666667,1,0.5,0.5,0.5,1,0.333333,1,0,0.514286,0.485714,0.430769,0.569231,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,57,2001,Colorado,1.00E+07,6.67,100000,2.33,7.60E+09,1,1,0,2002,Colorado,9,0,0,0,0,1,0,0,0,0,0,2002,2001,Colorado,6,1,0,0,0,0,2002,1-Jun,CO,Colorado,5.70E+07,-6.80E+06,-300000,-1.50E+06,0,0,0,0,-5.00E+06,0,0,0,0,0,0,0,0,0,0,7.60E+09,-0.089,-0.004,-0.02,0,0,0,0,-0.066,0,0,0,0,0,0,0,0,0,0,6,Colorado,2000,0.514286,0.430769,0.4954,0,"Owens, Bill",-0.0046,0,0,1.85,Colorado,6,2001,2001,2001,1,0,"Owens, Bill",0,2002,0,1,0,1.85,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4954,0.5046,0,0.5046,CO,Colorado,2001,CO,6,2001,0.559,-0.149,-1.087,0.967,0.967,-1.142,1.059,-1.142,2001,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2001,Colorado,Colorado,2001,"Owens, Bill",1.85,0,0,0
2003,2-May,CO,Colorado,2002,2.5,6,1.40E+10,1.60E+11,4.50E+06,139,5665,2002,2001,Colorado,1,0,0,0,0.666667,1,0.5,0.5,0.5,1,0.333333,1,0,0.514286,0.485714,0.430769,0.569231,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,219,2002,Colorado,0,0,100000,2.27,6.90E+09,1,1,0,2003,Colorado,9,0,0,0,0,1,0,0,0,0,0,2003,2002,Colorado,6,0,0,1,0,0,2003,2-May,CO,Colorado,2.20E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,2001,0.514286,0.430769,0.4954,0,"Owens, Bill",-0.0046,0,0,1.85,Colorado,6,2002,2001,2001,0,1,"Owens, Bill",1,2002,0,1,0,1.85,0,1,0,1,1,0,1.85,0,0,0,0,0,0,0,0,0,0.4954,0.5046,0,0.5046,CO,Colorado,2002,CO,6,2002,0.559,-0.51,-1.087,0.967,0.967,-1.147,1.125,-1.147,2002,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2002,Colorado,Colorado,2002,"Owens, Bill",1.85,0,0,0
2004,3-Jun,CO,Colorado,2003,2.5,6,1.40E+10,1.70E+11,4.60E+06,217,6045,2003,2002,Colorado,0,0,0,0,0.666667,1,0.5,0.5,0,0,0,0,0,0.485714,0.514286,0.430769,0.569231,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,0,265,2003,Colorado,0,0,0,0,6.60E+09,1,1,1,2004,Colorado,8.67,0,0,0,0,0,0,0,1,0,-0.33,2004,2003,Colorado,6,0,0,0,0,0,2004,3-Jun,CO,Colorado,2.70E+08,2.10E+06,0,0,0,0,0,0,0,2.10E+06,0,0,0,0,0,0,0,0,0,6.60E+09,0.032,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,6,Colorado,2002,0.485714,0.430769,0.3496,0,"Owens, Bill",-0.1504,0,0,1.85,Colorado,6,2003,2003,2003,1,0,"Owens, Bill",0,2006,0,1,0,1.85,0,1,0,1,1,0,1.85,0,0,0,0,0,0,0,0,0,0.3496,0.6504,0,0.6504,CO,Colorado,2003,CO,6,2003,0.502,-0.048,-1.01,1.015,1.015,-1.14,1.053,-1.14,2003,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2003,Colorado,Colorado,2003,"Owens, Bill",1.85,0,0,0
2005,Apr. 2004,CO,Colorado,2004,2.5,6,1.50E+10,1.80E+11,4.60E+06,224,6475,2004,2003,Colorado,0,0,0,0,0.666667,1,0.5,0.5,0,0,0,0,0,0.485714,0.514286,0.430769,0.569231,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,0,238,2004,Colorado,1.00E+07,6.25,100000,2.22,7.10E+09,1,1,1,2005,Colorado,8.67,0,0,0,0,0,0,0,1,0,0,2005,2004,Colorado,6,1,1,0,0,0,2005,Apr. 2004,CO,Colorado,2.40E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.10E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,2003,0.485714,0.430769,0.3496,0,"Owens, Bill",-0.1504,0,0,1.85,Colorado,6,2004,2003,2003,0,1,"Owens, Bill",0,2006,0,1,0,1.85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3496,0.6504,0,0.6504,CO,Colorado,2004,CO,6,2004,0.552,0.413,-0.984,1.051,1.051,-1.138,1.053,1.053,2004,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2004,Colorado,Colorado,2004,"Owens, Bill",1.85,0,0,0
2006,5-Jul,CO,Colorado,2005,2.5,6,1.60E+10,1.90E+11,4.70E+06,237,6965,2005,2004,Colorado,1,1,0,0,0.666667,1,0.5,0.5,1,0,0.666667,1,1,0.514286,0.485714,0.538462,0.461538,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,370,2005,Colorado,1.00E+07,5.88,0,0,7.60E+09,1,0,0,2006,Colorado,8.67,0,1,0,0,0,0,0,0,0,0,2006,2005,Colorado,6,1,1,0,0,0,2006,5-Jul,CO,Colorado,3.70E+08,1.80E+08,0,0,0,1.80E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60E+09,2.303,0,0,0,2.303,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,2004,0.514286,0.538462,0.3496,0,"Owens, Bill",-0.1504,0,0,1.85,Colorado,6,2005,2005,2005,1,0,"Owens, Bill",0,2006,0,1,0,1.85,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3496,0.6504,0,0.6504,CO,Colorado,2005,CO,6,2005,-0.625,-0.523,-1.098,1.058,-1.098,-1.132,0.981,-1.132,2005,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2005,Colorado,Colorado,2005,"Owens, Bill",1.85,0,0,0
2007,6-Jun,CO,Colorado,2006,2.5,6,1.80E+10,2.10E+11,4.80E+06,252,7540,2006,2005,Colorado,1,1,0,0,0.666667,1,0.5,0.5,1,0,0.666667,1,1,0.514286,0.485714,0.538462,0.461538,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,267,2006,Colorado,1.00E+07,5.56,100000,2.17,8.50E+09,1,0,0,2007,Colorado,9,0,1,0,0,0,0,0,0,0,0.33,2007,2006,Colorado,6,1,1,1,1,0,2007,6-Jun,CO,Colorado,2.70E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,2005,0.514286,0.538462,0.3496,0,"Owens, Bill",-0.1504,1,-0.1504,1.85,Colorado,6,2006,2005,2005,0,1,"Owens, Bill",1,2006,0,1,0,1.85,1,0,1,0,0,1,0,1.85,0,0,0,0,0,0,0,0,0.3496,0.6504,0,0.6504,CO,Colorado,2006,CO,6,2006,-0.625,-0.632,-1.061,1.016,-1.061,-1.127,0.981,-1.127,2006,Colorado,1.85,1.03,1.63,0,1,1.63158,1.63,2006,Colorado,Colorado,2006,"Owens, Bill",1.85,0,0,0
2008,7-Jun,CO,Colorado,2007,2.5,6,1.80E+10,2.20E+11,4.90E+06,267,7743,2007,2006,Colorado,1,1,1,0,0.666667,1,0.5,0.5,1,0,1,0,0,0.571429,0.428571,0.6,0.4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,341,2007,Colorado,2.00E+07,10.53,100000,2.13,9.20E+09,0,0,0,2008,Colorado,9,0,0,0,0,0,0,0,0,1,0,2008,2007,Colorado,6,1,1,0,1,0,2008,7-Jun,CO,Colorado,3.40E+08,1.30E+07,-3.90E+06,0,0,0,0,0,0,1.70E+07,7.40E+06,0,0,0,0,0,0,0,7.40E+06,9.20E+09,0.139,-0.042,0,0,0,0,0,0,0.182,0.08,0,0,0,0,0,0,0,0.08,6,Colorado,2006,0.571429,0.6,0.5866,0,"Owens, Bill",0.0866,1,0.0866,0,Colorado,6,2007,2007,2007,1,0,"Ritter, Bill",0,2010,1,0,-1.08,0,1,0,1,0,0,1,0,-1.08,0,0,0,0,0.08,0,0,0,0.5866,0.4134,0.5866,0,CO,Colorado,2007,CO,6,2007,-0.778,-0.753,-1.132,1.166,-1.132,-1.067,1.357,-1.067,2007,Colorado,-1.08,0.54,-1.26,0,1,1.26316,1.26,2007,Colorado,Colorado,2007,"Ritter, Bill",0,-1.08,0,0.08
2009,8-Jun,CO,Colorado,2008,2.5,6,2.00E+10,2.10E+11,5.00E+06,444,6455,2008,2007,Colorado,1,1,1,0,0.666667,1,0.5,0.5,1,0,1,0,0,0.571429,0.428571,0.615385,0.384615,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,148,2008,Colorado,1.00E+07,4.76,100000,2.08,9.60E+09,0,0,0,2009,Colorado,9,0,0,0,0,0,0,0,0,1,0,2009,2008,Colorado,6,1,1,0,1,0,2009,8-Jun,CO,Colorado,1.50E+08,-1.60E+06,0,0,-1.60E+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.60E+09,-0.017,0,0,-0.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Colorado,2007,0.571429,0.6,0.5866,0,"Ritter, Bill",0.0866,1,0.0866,0,Colorado,6,2008,2007,2007,0,1,"Ritter, Bill",0,2010,1,0,-1.08,0,1,0,1,0,0,1,0,-1.08,0,0,0,0,0,0,0,0,0.5866,0.4134,0.5866,0,CO,Colorado,2008,CO,6,2008,-0.789,-0.753,-1.115,1.202,-1.115,-1.005,1.357,-1.005,2008,Colorado,-1.08,0.54,-1.26,0,1,1.26316,1.26,2008,Colorado,Colorado,2008,"Ritter, Bill",0,-1.08,0,0
2010,9-Jun,CO,Colorado,2009,2.5,6,1.90E+10,2.10E+11,5.00E+06,443,6410,2009,2008,Colorado,1,1,1,0,0.666667,1,0.5,0.5,1,0,1,0,0,0.6,0.4,0.584615,0.415385,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,132,2009,Colorado,-1.00E+07,-4.55,100000,2.04,8.70E+09,0,0,0,2010,Colorado,9,0,0,0,0,0,0,0,0,1,0,2010,2009,Colorado,6,1,1,0,1,0,2010,9-Jun,CO,Colorado,1.30E+08,5.40E+08,0,0,0,0,0,0,0,5.40E+08,2.00E+08,0,0,0,0,0,0,-2.90E+06,2.00E+08,8.70E+09,6.194,0,0,0,0,0,0,0,6.194,2.299,0,0,0,0,0,0,-0.033,2.299,6,Colorado,2008,0.6,0.584615,0.5866,0,"Ritter, Bill",0.0866,1,0.0866,0,Colorado,6,2009,2009,2009,1,0,"Ritter, Bill",0,2010,1,0,-1.08,0,1,0,1,0,0,1,0,-1.08,0,0,0,0,2.299,0,0,0,0.5866,0.4134,0.5866,0,CO,Colorado,2009,CO,6,2009,-0.811,-0.811,-1.177,1.215,-1.177,-1.118,1.504,-1.118,2009,Colorado,-1.08,0.54,-1.26,0,1,1.26316,1.26,2009,Colorado,Colorado,2009,"Ritter, Bill",0,-1.08,0,2.299
