state,stateno,year,y1960_2010,prez_election_year,weird5,weird5b,Biennium,Biennium_b,biennium_first_year,biennium_second_year,y1961to2010,y1961to2006,govname1,govname1_sour,govname1_date,govname2,govname2_sour,govname2_date,govname2_notes,gub_election,gub_election_regime,gov_midyear_change_date,gov_midyear_change_month,gov_midyear_change_day,gov_midyear_change_ordinal_day,gov_midyear_change_a,Budget_Pass2011_04_20,when_leg_met2011_04_13,gov_midyear_change_b,gov_midyear_change_b_note,new_gov_b,past_gov,past_gov_note,gov_midyear_change_c,gov_midyear_change_c_note,new_gov_c,new_gov_d,fracleg_old_variable,fracleg_note_old_variable,years_served,budgets_overseen,years_served_budgets_overseen_notes,term_length,years_left_in_term,limit_exists,limit_type,term_limit_length_uncertainty,years_left_before_limit,years_left_before_limit_note,years_left_before_limit_uncertainty,Lame_Duck_Last_Term,Lame_Duck_Last_Year,Lame_Duck_Last_2nd_To_Last_Year,Lame_Duck_Notes,femgov,femgov_notes,stateleg,stateleg_source,congmem,congmem_sour,stateleg_congmem_notes,legexper,party_midyear_change,party_midyear_change_direction,govparty_a,party_midbiennium_change,party_midbiennium_change_direction,party_midbiennium_change_note,govparty_b,govparty_b_2,state_midterm_penalty,govparty_c,govparty_c_note,gov_non_maj_pty,gub_party_change,gov_pty_change_since_last_budget_a,gov_pty_change_since_last_budget_b,years_since_other_party,open_bcs_term_limit,y1937_to_2010
Alabama,1,1966,1,0,0,0,1965,1965,0,1,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,1,1966,,,,,,0,,0,,0,0,,,,0,0,,,3,2,,4,0,1,1,0,0,,,1,1,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,,1,0,,1.00,0,,,1,1,0,1,,0,0,,,29,1,1
Alabama,1,1967,1,0,0,0,1967,1967,1,0,1,1,"Wallace, Lurleen B.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1970,,,,,,1,,0,,1,0,,,,1,1,,,0,0,,4,3,1,1,0,3,,,1,0,0,,1,,0,Personal knowledge,0,http://bioguide.congress.gov/biosearch/biosearch.asp,,0,0,,1.00,0,,,1,1,1,1,,0,0,0,0,30,0,1
Alabama,1,1968,1,1,0,0,1967,1967,0,1,1,1,"Wallace, Lurleen B. then Albert Brewer","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,Lurleen died May 7.,0,1970,7-May,5,7,128,1,0,never,1,,1,0,,,"Brewer came in this year, but there was no budget.  So no midyear change for gov_midyear_change_c.  So the next year gets coded ""1"" for new_gov_c",0,0,1.000,"I don't think the legislature met in this year.  The BOS doesn't report it, and I don't think that was because of missing data.  ",1,1,,4,2,1,1,0,6,"Legislature didn't meet this year at all, so coding doesn't matter much.  Since she wasn't in for the majority of the year, I'll code it as Brewer being in.",,1,0,0,,1,,0,"Since the state legislature didn't meet this year, Lurleen's score counts for both years.  ",0,http://bioguide.congress.gov/biosearch/biosearch.asp,,0,0,,1.00,0,,,1,1,1,1,,0,0,,,31,0,1
Alabama,1,1969,1,0,0,0,1969,1969,1,0,1,1,"Brewer, Albert P.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1970,,,,,,1,,0,,0,0,,,,1,1,,,0.653,0,,4,1,1,2,0,9,,,0,0,0,,0,,1,"The Book of the States, Supplement 1, 1965",0,http://bioguide.congress.gov/biosearch/biosearch.asp,,1,0,,1.00,0,,,1,1,1,1,,0,0,0,0,32,0,1
Alabama,1,1970,1,0,0,0,1969,1969,0,1,1,1,"Brewer, Albert P.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,1,1970,,,,,,0,,0,,0,0,,,,0,0,,,1.653,1,,4,0,1,2,0,8,,,0,0,0,,0,,1,"The Book of the States, Supplement 1, 1965",0,http://bioguide.congress.gov/biosearch/biosearch.asp,,1,0,,1.00,0,,,1,1,0,1,,0,0,,,33,0,1
Alabama,1,1971,1,0,0,0,1971,1971,1,0,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1974,,,,,,1,,0,,1,1,,,,1,0,,,4,2,,4,3,1,2,0,7,,,0,0,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,1,1,,0,0,0,0,34,0,1
Alabama,1,1972,1,1,0,0,1971,1971,0,1,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1974,,,,,,0,,0,,0,0,,,,0,0,,,5,3,,4,2,1,2,0,6,,,0,0,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,1,1,,0,0,,,35,0,1
Alabama,1,1973,1,0,0,0,1973,1973,1,0,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1974,,,,,,1,,0,,0,0,,,,0,0,,,6,3,,4,1,1,2,0,5,,,0,0,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,1,1,,0,0,0,0,36,0,1
Alabama,1,1974,1,0,0,0,1973,1973,0,1,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,1,1974,,,,,,0,,0,,0,0,,,,0,0,,,7,4,,4,0,1,2,0,4,,,0,0,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,0,1,,0,0,,,37,0,1
Alabama,1,1975,1,0,0,0,1975,1975,1,0,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1978,,,,,,1,,0,,0,0,,,,0,0,,,8,4,,4,3,1,2,0,3,,,1,0,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,1,1,,0,0,0,0,38,0,1
Alabama,1,1976,1,1,0,0,1975,1975,0,1,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1978,,,,,,1,,0,,0,0,,,,0,0,,,9,5,,4,2,1,2,0,2,,,1,0,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,1,1,,0,0,0,0,39,0,1
Alabama,1,1977,1,0,0,0,1977,1977,1,0,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1978,,,,,,1,,0,,0,0,,,,0,0,,,10,6,,4,1,1,2,0,1,,,1,0,1,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,1,1,,0,0,0,0,40,0,1
Alabama,1,1978,1,0,0,0,1977,1977,0,1,1,1,"Wallace, George C.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,1,1978,,,,,,1,,0,,0,0,,,,0,0,,,11,7,,4,0,1,2,0,0,,,1,1,0,,0,,1,"The Book of the States, Supplement 1, January 1951",0,http://bioguide.congress.gov/biosearch/biosearch.asp,Says Wallace was in the State House in 1951,1,0,,1.00,0,,,1,1,0,1,,0,0,0,0,41,1,1
Alabama,1,1979,1,0,0,0,1979,1979,1,0,1,1,"James, Forrest H. ""Fob"" Jr.","Moore, John L., Jon P. Preimesberger, and David R. Tarr, eds. 2001.  Congressional Quarterly's Guid to U.S. Elections.  4th edition.  Washington, DC: CQ Press.",,,,,,0,1982,,,,,,1,,0,,1,0,,,,1,1,,,0,0,,4,3,1,2,0,7,,,0,0,0,,0,,0,From my gubernatorial candidates file.  Only inserted info if the candidate was at one time not an incumbent from 1972 and on.  Info would be hidden for candidates that were always incumbents in this time period.,0,From my gubernatorial candidates file.  Only inserted info if the candidate was at one time not an incumbent from 1972 and on.  Info would be hidden for candidates that were always incumbents in this time period.,,0,0,,1.00,0,,,1,1,1,1,,0,0,0,0,42,0,1
